,text
29,"Hijos de puta. Maldigo especialmente a los borregos que la denunciaron. 
#pasesanitario #yonomevacuno #NoAlPaseSanitario #NoAlPaseSanitarioArgentina #grafeno https://t.co/hD9d3W1MQ7"
30,"#PaseSanitario | La ""zona gris"" con #Rusia🇷🇺 y #China🇨🇳: qué vacunas están permitidas para asistir al Mundial de Qatar🇶🇦🏆

📌Hay algunas dosis que todavía no recibieron su aprobación total y pedirán testeo obligatorio
https://t.co/03vlmAZ9tt"
31,Denuncian penalmente a Kicillof y Ustarroz por imponer el pase sanitario @KicillofOK @WadoDeCorrido @JuanIUstarroz https://t.co/kieBNrwHD9 #Mercedes #PaseSanitario a través de @RealpolitikOK
32,Que está pasando? #Dictadura #pasesanitario https://t.co/rzfAsjAwhr
33,En #Jujuy anunciaron que la única condición para poder ir a un evento masivo va a ser tener el #PaseSanitario https://t.co/OLJ00bHmzR
34,Denuncian penalmente a Kicillof y Ustarroz por imponer el pase sanitario @KicillofOK @WadoDeCorrido @JuanIUstarroz https://t.co/gyUz2KfeDy #Mercedes #PaseSanitario vía @RealpolitikOK
35,"Fijénsen lo que votan la próxima, por sacarse a Macri, miren lo que agarraron

Denuncian penalmente a Kicillof y Ustarroz por imponer el pase sanitario @KicillofOK @WadoDeCorrido @JuanIUstarroz https://t.co/nYLpaRqEsj #Mercedes #PaseSanitario vía @RealpolitikOK"
36,#pasesanitario https://t.co/RgRQg3cSrh
37,"☑En la primera sesión extraordinaria del año, la legislatura aprobó la prórroga del pase sanitario. Fue 32 votos a favor y 7 en contra, la medida quedó establecida para lo que queda del mes de febrero. 
///
.
.
#PaseSanitario     
#Tucumán https://t.co/JUlVKIAaAs"
38,"#ATENCIÓN 🇨🇦 | Un día más de protestas contra el #PaseSanitario en #Canada y pese a las represiones, se sigue expandiendo la protesta. 
A los #truckers y los #FarmersProtest, se suman trabajadores de industrias, que contribuyen con sus camiones mineros.

#Convoy2022 https://t.co/u0M4mwUOXv"
39,#Quilmes / La #UNQ no pedirá #pasesanitario a los alumnos https://t.co/8PDKyOLAFn a través de @elsolquilmes @UNQoficial
40,"Vuelta a clases: PBA se diferenció de CABA y confirmó que habrá protocolos sanitarios

#BuenosAires #Presencial #escualas #universidades #PaseSanitario #protocolos #coronavirus #CABA 
Mira la nota acá: https://t.co/ENvUtvaqeN"
41,#PLANdemia #COVIDIOTS #COVID19 #PaseSanitario #PasaporteCovid https://t.co/ZFMOXfFIxH
42,#COVID19 #COVIDIOTS #COVID #PasaporteCovid #PaseSanitario #PLANdemia https://t.co/SMLvDkzmzv
43,"¿Es efectivo el #pasesanitario 📲 para aumentar 📈 el nivel de #vacunación 💉?

🌎 Mientras países como Austria y Ecuador imponen la vacunación obligatoria, algunos apuestan al pase sanitario para fomentar la vacunación.
🧑‍💻 @ivooeguizabal. https://t.co/6Ba1bOBTFe"
44,"#ATENCIÓN 🇺🇸 🇨🇦 |Continúa la lucha contra el #pasesanitario en #Canada y se suman más caravanas de #ConvoyFreedom2022 desde #Alaska, USA.

#ConvoyForFreedom2022
#TruckersConvoy2022

https://t.co/dux7KbYpmf"
45,"🎼 #Concierto: L-Gante realizará un show gratis en Tecnópolis: cómo sacar entradas y cuándo será

El cantante publicó en sus redes que realizará el evento sin costo como regalo para el público. https://t.co/JHVGwf5DpU

#LGante #Tecnópolis #PaseSanitario #Gratuito #COMBA https://t.co/Lf7CsfGm1C"
